ticker,horizon,stage,step,fold,alpha,l1_ratio,feature,coef
CVS,21,fold,0,0,0.013764,0.9,rv_5d,0.0
CVS,21,fold,0,0,0.013764,0.9,rv_10d,-0.0
CVS,21,fold,0,0,0.013764,0.9,rv_21d,-0.0
CVS,21,fold,0,0,0.013764,0.9,rv_63d,-0.0
CVS,21,fold,0,0,0.013764,0.9,rv_126d,-0.014078
CVS,21,fold,0,0,0.013764,0.9,ewma_vol,-0.0
CVS,21,fold,0,0,0.013764,0.9,garch_cond_vol,-0.0
CVS,21,fold,0,0,0.013764,0.9,ret_TARGET,-0.0
CVS,21,fold,0,0,0.013764,0.9,tech_RSI,-0.011899
CVS,21,fold,0,0,0.013764,0.9,tech_MACD_hist,-0.006674
CVS,21,fold,0,0,0.013764,0.9,ret_VIXY,0.0
CVS,21,fold,0,0,0.013764,0.9,mom21_VIXY,-0.0
CVS,21,fold,0,0,0.013764,0.9,ret_HYG,-0.0
CVS,21,fold,0,0,0.013764,0.9,mom21_HYG,0.058754
CVS,21,fold,0,0,0.013764,0.9,ret_USO,-0.0
CVS,21,fold,0,0,0.013764,0.9,mom21_USO,-0.0
CVS,21,fold,0,0,0.013764,0.9,ret_TLT,0.0
CVS,21,fold,0,0,0.013764,0.9,mom21_TLT,-0.0
CVS,21,fold,0,0,0.013764,0.9,ret_UUP,-0.0
CVS,21,fold,0,0,0.013764,0.9,mom21_UUP,0.0
CVS,21,fold,0,0,0.013764,0.9,ret_SPY,-0.0
CVS,21,fold,0,0,0.013764,0.9,mom21_SPY,0.0
CVS,21,fold,0,0,0.013764,0.9,vol_vel,0.0
CVS,21,fold,0,0,0.013764,0.9,vol_of_vol,-0.0
CVS,21,fold,0,0,0.013764,0.9,vol_regime_zscore,0.0
CVS,21,fold,0,0,0.013764,0.9,vol_chg_21d,0.0
CVS,21,fold,0,0,0.013764,0.9,event_fed_gravity,-0.0
CVS,21,fold,0,0,0.013764,0.9,event_earn_gravity,0.008239
CVS,21,fold,0,0,0.013764,0.9,event_div_gravity,0.0
CVS,21,fold,0,0,0.013764,0.9,event_cpi_gravity,-0.0
CVS,21,fold,0,0,0.013764,0.9,event_nfp_gravity,-0.0
CVS,21,fold,0,0,0.013764,0.9,put_call_skew_30d,-0.0
CVS,21,fold,0,0,0.013764,0.9,term_structure_slope,-0.041781
CVS,21,fold,0,0,0.013764,0.9,vrp_wedge,0.0
CVS,21,fold,0,0,0.013764,0.9,iv_atm_z_score,0.000156
CVS,21,fold,0,0,0.013764,0.9,macro_yield_curve_slope,-0.0
CVS,21,fold,0,0,0.013764,0.9,macro_hy_spread,-0.0
CVS,21,fold,0,0,0.013764,0.9,macro_hy_spread_chg_5d,0.0
CVS,21,fold,0,0,0.013764,0.9,macro_breakeven_5y,-0.072281
CVS,21,fold,0,0,0.013764,0.9,macro_inflation_fwd_5y5y,0.0
CVS,21,fold,0,0,0.013764,0.9,macro_inflation_fwd_chg_21d,0.0
CVS,21,fold,0,0,0.013764,0.9,macro_inflation_fwd_abs_chg_21d,-0.029709
CVS,21,fold,0,0,0.013764,0.9,macro_inflation_fwd_chg_63d,-0.0
CVS,21,fold,0,0,0.013764,0.9,macro_inflation_fwd_zscore,0.0
CVS,21,fold,0,0,0.013764,0.9,macro_dollar_ret,-0.0
CVS,21,fold,0,0,0.013764,0.9,beta_spy,0.001766
CVS,21,fold,0,0,0.013764,0.9,res_vol,-0.094553
CVS,21,fold,0,0,0.013764,0.9,res_vol_vel,0.064697
CVS,21,fold,0,0,0.013764,0.9,price_regime,0.0
CVS,21,fold,0,0,0.013764,0.9,corr_sector_21d,0.04065
CVS,21,fold,0,0,0.013764,0.9,corr_sector_252d,0.0
CVS,21,fold,0,0,0.013764,0.9,sector_wedge,0.0
CVS,21,fold,0,1,0.004531,0.7,rv_5d,-0.0
CVS,21,fold,0,1,0.004531,0.7,rv_10d,-0.0
CVS,21,fold,0,1,0.004531,0.7,rv_21d,0.0
CVS,21,fold,0,1,0.004531,0.7,rv_63d,-0.021563
CVS,21,fold,0,1,0.004531,0.7,rv_126d,-0.0
CVS,21,fold,0,1,0.004531,0.7,ewma_vol,-0.013796
CVS,21,fold,0,1,0.004531,0.7,garch_cond_vol,-0.007143
CVS,21,fold,0,1,0.004531,0.7,ret_TARGET,-0.0
CVS,21,fold,0,1,0.004531,0.7,tech_RSI,0.0
CVS,21,fold,0,1,0.004531,0.7,tech_MACD_hist,-0.014164
CVS,21,fold,0,1,0.004531,0.7,ret_VIXY,-0.0
CVS,21,fold,0,1,0.004531,0.7,mom21_VIXY,0.0
CVS,21,fold,0,1,0.004531,0.7,ret_HYG,-0.0
CVS,21,fold,0,1,0.004531,0.7,mom21_HYG,0.035901
CVS,21,fold,0,1,0.004531,0.7,ret_USO,-0.0
CVS,21,fold,0,1,0.004531,0.7,mom21_USO,0.0
CVS,21,fold,0,1,0.004531,0.7,ret_TLT,0.0
CVS,21,fold,0,1,0.004531,0.7,mom21_TLT,-0.0
CVS,21,fold,0,1,0.004531,0.7,ret_UUP,-0.005294
CVS,21,fold,0,1,0.004531,0.7,mom21_UUP,0.007339
CVS,21,fold,0,1,0.004531,0.7,ret_SPY,-0.003984
CVS,21,fold,0,1,0.004531,0.7,mom21_SPY,0.03071
CVS,21,fold,0,1,0.004531,0.7,vol_vel,0.006543
CVS,21,fold,0,1,0.004531,0.7,vol_of_vol,0.0
CVS,21,fold,0,1,0.004531,0.7,vol_regime_zscore,-0.035988
CVS,21,fold,0,1,0.004531,0.7,vol_chg_21d,0.045887
CVS,21,fold,0,1,0.004531,0.7,event_fed_gravity,-0.0
CVS,21,fold,0,1,0.004531,0.7,event_earn_gravity,0.009823
CVS,21,fold,0,1,0.004531,0.7,event_div_gravity,-0.011979
CVS,21,fold,0,1,0.004531,0.7,event_cpi_gravity,-0.0
CVS,21,fold,0,1,0.004531,0.7,event_nfp_gravity,-0.0
CVS,21,fold,0,1,0.004531,0.7,put_call_skew_30d,-0.008288
CVS,21,fold,0,1,0.004531,0.7,term_structure_slope,-0.020036
CVS,21,fold,0,1,0.004531,0.7,vrp_wedge,0.0
CVS,21,fold,0,1,0.004531,0.7,iv_atm_z_score,0.053237
CVS,21,fold,0,1,0.004531,0.7,macro_yield_curve_slope,-0.0
CVS,21,fold,0,1,0.004531,0.7,macro_hy_spread,-0.0
CVS,21,fold,0,1,0.004531,0.7,macro_hy_spread_chg_5d,-0.004949
CVS,21,fold,0,1,0.004531,0.7,macro_breakeven_5y,-0.059604
CVS,21,fold,0,1,0.004531,0.7,macro_inflation_fwd_5y5y,0.026802
CVS,21,fold,0,1,0.004531,0.7,macro_inflation_fwd_chg_21d,-0.014276
CVS,21,fold,0,1,0.004531,0.7,macro_inflation_fwd_abs_chg_21d,-0.025911
CVS,21,fold,0,1,0.004531,0.7,macro_inflation_fwd_chg_63d,-0.035821
CVS,21,fold,0,1,0.004531,0.7,macro_inflation_fwd_zscore,-0.006933
CVS,21,fold,0,1,0.004531,0.7,macro_dollar_ret,-0.000384
CVS,21,fold,0,1,0.004531,0.7,beta_spy,0.036298
CVS,21,fold,0,1,0.004531,0.7,res_vol,-0.095053
CVS,21,fold,0,1,0.004531,0.7,res_vol_vel,0.012319
CVS,21,fold,0,1,0.004531,0.7,price_regime,0.015206
CVS,21,fold,0,1,0.004531,0.7,corr_sector_21d,0.054333
CVS,21,fold,0,1,0.004531,0.7,corr_sector_252d,-0.043807
CVS,21,fold,0,1,0.004531,0.7,sector_wedge,-0.013425
CVS,21,fold,0,2,0.081096,0.9,rv_5d,0.0
CVS,21,fold,0,2,0.081096,0.9,rv_10d,0.0
CVS,21,fold,0,2,0.081096,0.9,rv_21d,0.013369
CVS,21,fold,0,2,0.081096,0.9,rv_63d,0.0
CVS,21,fold,0,2,0.081096,0.9,rv_126d,0.0
CVS,21,fold,0,2,0.081096,0.9,ewma_vol,0.0
CVS,21,fold,0,2,0.081096,0.9,garch_cond_vol,0.0
CVS,21,fold,0,2,0.081096,0.9,ret_TARGET,-0.0
CVS,21,fold,0,2,0.081096,0.9,tech_RSI,-0.0
CVS,21,fold,0,2,0.081096,0.9,tech_MACD_hist,-0.0
CVS,21,fold,0,2,0.081096,0.9,ret_VIXY,0.0
CVS,21,fold,0,2,0.081096,0.9,mom21_VIXY,0.0
CVS,21,fold,0,2,0.081096,0.9,ret_HYG,-0.0
CVS,21,fold,0,2,0.081096,0.9,mom21_HYG,-0.0
CVS,21,fold,0,2,0.081096,0.9,ret_USO,-0.0
CVS,21,fold,0,2,0.081096,0.9,mom21_USO,-0.0
CVS,21,fold,0,2,0.081096,0.9,ret_TLT,0.0
CVS,21,fold,0,2,0.081096,0.9,mom21_TLT,0.0
CVS,21,fold,0,2,0.081096,0.9,ret_UUP,-0.0
CVS,21,fold,0,2,0.081096,0.9,mom21_UUP,-0.0
CVS,21,fold,0,2,0.081096,0.9,ret_SPY,-0.0
CVS,21,fold,0,2,0.081096,0.9,mom21_SPY,-0.0
CVS,21,fold,0,2,0.081096,0.9,vol_vel,0.0
CVS,21,fold,0,2,0.081096,0.9,vol_of_vol,0.0
CVS,21,fold,0,2,0.081096,0.9,vol_regime_zscore,-0.0
CVS,21,fold,0,2,0.081096,0.9,vol_chg_21d,0.0
CVS,21,fold,0,2,0.081096,0.9,event_fed_gravity,-0.013048
CVS,21,fold,0,2,0.081096,0.9,event_earn_gravity,0.0
CVS,21,fold,0,2,0.081096,0.9,event_div_gravity,-0.0
CVS,21,fold,0,2,0.081096,0.9,event_cpi_gravity,-0.0
CVS,21,fold,0,2,0.081096,0.9,event_nfp_gravity,-0.0
CVS,21,fold,0,2,0.081096,0.9,put_call_skew_30d,0.0
CVS,21,fold,0,2,0.081096,0.9,term_structure_slope,-0.01004
CVS,21,fold,0,2,0.081096,0.9,vrp_wedge,0.0
CVS,21,fold,0,2,0.081096,0.9,iv_atm_z_score,0.0
CVS,21,fold,0,2,0.081096,0.9,macro_yield_curve_slope,0.0
CVS,21,fold,0,2,0.081096,0.9,macro_hy_spread,0.0
CVS,21,fold,0,2,0.081096,0.9,macro_hy_spread_chg_5d,0.0
CVS,21,fold,0,2,0.081096,0.9,macro_breakeven_5y,-0.0
CVS,21,fold,0,2,0.081096,0.9,macro_inflation_fwd_5y5y,-0.0
CVS,21,fold,0,2,0.081096,0.9,macro_inflation_fwd_chg_21d,-0.0
CVS,21,fold,0,2,0.081096,0.9,macro_inflation_fwd_abs_chg_21d,0.0
CVS,21,fold,0,2,0.081096,0.9,macro_inflation_fwd_chg_63d,-0.0
CVS,21,fold,0,2,0.081096,0.9,macro_inflation_fwd_zscore,-0.051659
CVS,21,fold,0,2,0.081096,0.9,macro_dollar_ret,0.0
CVS,21,fold,0,2,0.081096,0.9,beta_spy,0.0
CVS,21,fold,0,2,0.081096,0.9,res_vol,-0.0
CVS,21,fold,0,2,0.081096,0.9,res_vol_vel,-0.0
CVS,21,fold,0,2,0.081096,0.9,price_regime,0.0
CVS,21,fold,0,2,0.081096,0.9,corr_sector_21d,0.019096
CVS,21,fold,0,2,0.081096,0.9,corr_sector_252d,0.0
CVS,21,fold,0,2,0.081096,0.9,sector_wedge,0.0
CVS,21,final,0,-1,0.108022,0.5,rv_5d,0.003808
CVS,21,final,0,-1,0.108022,0.5,rv_10d,0.0
CVS,21,final,0,-1,0.108022,0.5,rv_21d,0.020944
CVS,21,final,0,-1,0.108022,0.5,rv_63d,0.0
CVS,21,final,0,-1,0.108022,0.5,rv_126d,0.0
CVS,21,final,0,-1,0.108022,0.5,ewma_vol,0.0
CVS,21,final,0,-1,0.108022,0.5,garch_cond_vol,0.0
CVS,21,final,0,-1,0.108022,0.5,ret_TARGET,-0.0
CVS,21,final,0,-1,0.108022,0.5,tech_RSI,-0.0
CVS,21,final,0,-1,0.108022,0.5,tech_MACD_hist,-0.0
CVS,21,final,0,-1,0.108022,0.5,ret_VIXY,0.0
CVS,21,final,0,-1,0.108022,0.5,mom21_VIXY,0.0
CVS,21,final,0,-1,0.108022,0.5,ret_HYG,-0.0
CVS,21,final,0,-1,0.108022,0.5,mom21_HYG,-0.0
CVS,21,final,0,-1,0.108022,0.5,ret_USO,-0.0
CVS,21,final,0,-1,0.108022,0.5,mom21_USO,-0.0
CVS,21,final,0,-1,0.108022,0.5,ret_TLT,0.0
CVS,21,final,0,-1,0.108022,0.5,mom21_TLT,0.0
CVS,21,final,0,-1,0.108022,0.5,ret_UUP,-0.0
CVS,21,final,0,-1,0.108022,0.5,mom21_UUP,-0.0
CVS,21,final,0,-1,0.108022,0.5,ret_SPY,-0.0
CVS,21,final,0,-1,0.108022,0.5,mom21_SPY,-0.0
CVS,21,final,0,-1,0.108022,0.5,vol_vel,0.0
CVS,21,final,0,-1,0.108022,0.5,vol_of_vol,-0.0
CVS,21,final,0,-1,0.108022,0.5,vol_regime_zscore,-0.0
CVS,21,final,0,-1,0.108022,0.5,vol_chg_21d,0.0
CVS,21,final,0,-1,0.108022,0.5,event_fed_gravity,-0.0
CVS,21,final,0,-1,0.108022,0.5,event_earn_gravity,0.0
CVS,21,final,0,-1,0.108022,0.5,event_div_gravity,-0.0
CVS,21,final,0,-1,0.108022,0.5,event_cpi_gravity,-0.0
CVS,21,final,0,-1,0.108022,0.5,event_nfp_gravity,-0.0
CVS,21,final,0,-1,0.108022,0.5,put_call_skew_30d,0.019309
CVS,21,final,0,-1,0.108022,0.5,term_structure_slope,-0.002982
CVS,21,final,0,-1,0.108022,0.5,vrp_wedge,0.0
CVS,21,final,0,-1,0.108022,0.5,iv_atm_z_score,0.0
CVS,21,final,0,-1,0.108022,0.5,macro_yield_curve_slope,0.0
CVS,21,final,0,-1,0.108022,0.5,macro_hy_spread,0.0
CVS,21,final,0,-1,0.108022,0.5,macro_hy_spread_chg_5d,0.0
CVS,21,final,0,-1,0.108022,0.5,macro_breakeven_5y,-0.0
CVS,21,final,0,-1,0.108022,0.5,macro_inflation_fwd_5y5y,-0.0
CVS,21,final,0,-1,0.108022,0.5,macro_inflation_fwd_chg_21d,-0.0
CVS,21,final,0,-1,0.108022,0.5,macro_inflation_fwd_abs_chg_21d,0.0
CVS,21,final,0,-1,0.108022,0.5,macro_inflation_fwd_chg_63d,-0.0
CVS,21,final,0,-1,0.108022,0.5,macro_inflation_fwd_zscore,-0.021582
CVS,21,final,0,-1,0.108022,0.5,macro_dollar_ret,0.0
CVS,21,final,0,-1,0.108022,0.5,beta_spy,0.0
CVS,21,final,0,-1,0.108022,0.5,res_vol,-0.0
CVS,21,final,0,-1,0.108022,0.5,res_vol_vel,-0.0
CVS,21,final,0,-1,0.108022,0.5,price_regime,0.0
CVS,21,final,0,-1,0.108022,0.5,corr_sector_21d,0.013236
CVS,21,final,0,-1,0.108022,0.5,corr_sector_252d,0.018323
CVS,21,final,0,-1,0.108022,0.5,sector_wedge,0.0
CVS,63,fold,0,0,0.000115,0.9,rv_5d,0.005065
CVS,63,fold,0,0,0.000115,0.9,rv_10d,0.005264
CVS,63,fold,0,0,0.000115,0.9,rv_21d,-0.0
CVS,63,fold,0,0,0.000115,0.9,rv_63d,-0.200591
CVS,63,fold,0,0,0.000115,0.9,rv_126d,-0.0
CVS,63,fold,0,0,0.000115,0.9,ewma_vol,-0.011603
CVS,63,fold,0,0,0.000115,0.9,garch_cond_vol,-0.018468
CVS,63,fold,0,0,0.000115,0.9,ret_TARGET,0.0
CVS,63,fold,0,0,0.000115,0.9,tech_RSI,0.005575
CVS,63,fold,0,0,0.000115,0.9,tech_MACD_hist,-0.011148
CVS,63,fold,0,0,0.000115,0.9,ret_VIXY,-0.00289
CVS,63,fold,0,0,0.000115,0.9,mom21_VIXY,-0.003363
CVS,63,fold,0,0,0.000115,0.9,ret_HYG,-0.004116
CVS,63,fold,0,0,0.000115,0.9,mom21_HYG,0.028417
CVS,63,fold,0,0,0.000115,0.9,ret_USO,0.002174
CVS,63,fold,0,0,0.000115,0.9,mom21_USO,-0.006112
CVS,63,fold,0,0,0.000115,0.9,ret_TLT,0.002206
CVS,63,fold,0,0,0.000115,0.9,mom21_TLT,-0.024149
CVS,63,fold,0,0,0.000115,0.9,ret_UUP,-0.001552
CVS,63,fold,0,0,0.000115,0.9,mom21_UUP,0.030531
CVS,63,fold,0,0,0.000115,0.9,ret_SPY,-0.003359
CVS,63,fold,0,0,0.000115,0.9,mom21_SPY,-0.000392
CVS,63,fold,0,0,0.000115,0.9,vol_vel,0.014139
CVS,63,fold,0,0,0.000115,0.9,vol_of_vol,0.02935
CVS,63,fold,0,0,0.000115,0.9,vol_regime_zscore,0.0
CVS,63,fold,0,0,0.000115,0.9,vol_chg_21d,0.035466
CVS,63,fold,0,0,0.000115,0.9,event_fed_gravity,0.0
CVS,63,fold,0,0,0.000115,0.9,event_earn_gravity,-0.0059
CVS,63,fold,0,0,0.000115,0.9,event_div_gravity,0.00485
CVS,63,fold,0,0,0.000115,0.9,event_cpi_gravity,0.0
CVS,63,fold,0,0,0.000115,0.9,event_nfp_gravity,0.0
CVS,63,fold,0,0,0.000115,0.9,put_call_skew_30d,-0.010123
CVS,63,fold,0,0,0.000115,0.9,term_structure_slope,-0.021412
CVS,63,fold,0,0,0.000115,0.9,vrp_wedge,-0.002491
CVS,63,fold,0,0,0.000115,0.9,iv_atm_z_score,-0.003737
CVS,63,fold,0,0,0.000115,0.9,macro_yield_curve_slope,-0.027002
CVS,63,fold,0,0,0.000115,0.9,macro_hy_spread,0.110906
CVS,63,fold,0,0,0.000115,0.9,macro_hy_spread_chg_5d,-0.013981
CVS,63,fold,0,0,0.000115,0.9,macro_breakeven_5y,-0.009923
CVS,63,fold,0,0,0.000115,0.9,macro_inflation_fwd_5y5y,0.00635
CVS,63,fold,0,0,0.000115,0.9,macro_inflation_fwd_chg_21d,-0.036002
CVS,63,fold,0,0,0.000115,0.9,macro_inflation_fwd_abs_chg_21d,0.002141
CVS,63,fold,0,0,0.000115,0.9,macro_inflation_fwd_chg_63d,0.002723
CVS,63,fold,0,0,0.000115,0.9,macro_inflation_fwd_zscore,0.0
CVS,63,fold,0,0,0.000115,0.9,macro_dollar_ret,-0.002007
CVS,63,fold,0,0,0.000115,0.9,beta_spy,0.014244
CVS,63,fold,0,0,0.000115,0.9,res_vol,0.015231
CVS,63,fold,0,0,0.000115,0.9,res_vol_vel,0.00765
CVS,63,fold,0,0,0.000115,0.9,price_regime,0.0
CVS,63,fold,0,0,0.000115,0.9,corr_sector_21d,0.025575
CVS,63,fold,0,0,0.000115,0.9,corr_sector_252d,0.0
CVS,63,fold,0,0,0.000115,0.9,sector_wedge,0.0
CVS,63,fold,0,1,0.106759,0.5,rv_5d,0.0
CVS,63,fold,0,1,0.106759,0.5,rv_10d,0.0
CVS,63,fold,0,1,0.106759,0.5,rv_21d,0.0
CVS,63,fold,0,1,0.106759,0.5,rv_63d,-0.0
CVS,63,fold,0,1,0.106759,0.5,rv_126d,-0.0
CVS,63,fold,0,1,0.106759,0.5,ewma_vol,0.0
CVS,63,fold,0,1,0.106759,0.5,garch_cond_vol,0.0
CVS,63,fold,0,1,0.106759,0.5,ret_TARGET,-0.0
CVS,63,fold,0,1,0.106759,0.5,tech_RSI,-0.0
CVS,63,fold,0,1,0.106759,0.5,tech_MACD_hist,-0.0
CVS,63,fold,0,1,0.106759,0.5,ret_VIXY,0.0
CVS,63,fold,0,1,0.106759,0.5,mom21_VIXY,0.0
CVS,63,fold,0,1,0.106759,0.5,ret_HYG,-0.0
CVS,63,fold,0,1,0.106759,0.5,mom21_HYG,-0.0
CVS,63,fold,0,1,0.106759,0.5,ret_USO,-0.0
CVS,63,fold,0,1,0.106759,0.5,mom21_USO,-0.0
CVS,63,fold,0,1,0.106759,0.5,ret_TLT,0.0
CVS,63,fold,0,1,0.106759,0.5,mom21_TLT,0.0
CVS,63,fold,0,1,0.106759,0.5,ret_UUP,0.0
CVS,63,fold,0,1,0.106759,0.5,mom21_UUP,0.0
CVS,63,fold,0,1,0.106759,0.5,ret_SPY,-0.0
CVS,63,fold,0,1,0.106759,0.5,mom21_SPY,-0.0
CVS,63,fold,0,1,0.106759,0.5,vol_vel,0.0
CVS,63,fold,0,1,0.106759,0.5,vol_of_vol,0.0
CVS,63,fold,0,1,0.106759,0.5,vol_regime_zscore,-0.0
CVS,63,fold,0,1,0.106759,0.5,vol_chg_21d,0.0
CVS,63,fold,0,1,0.106759,0.5,event_fed_gravity,-0.0
CVS,63,fold,0,1,0.106759,0.5,event_earn_gravity,0.0
CVS,63,fold,0,1,0.106759,0.5,event_div_gravity,-0.0
CVS,63,fold,0,1,0.106759,0.5,event_cpi_gravity,-0.0
CVS,63,fold,0,1,0.106759,0.5,event_nfp_gravity,-0.0
CVS,63,fold,0,1,0.106759,0.5,put_call_skew_30d,0.0
CVS,63,fold,0,1,0.106759,0.5,term_structure_slope,-0.0
CVS,63,fold,0,1,0.106759,0.5,vrp_wedge,0.0
CVS,63,fold,0,1,0.106759,0.5,iv_atm_z_score,0.0
CVS,63,fold,0,1,0.106759,0.5,macro_yield_curve_slope,0.0
CVS,63,fold,0,1,0.106759,0.5,macro_hy_spread,0.0
CVS,63,fold,0,1,0.106759,0.5,macro_hy_spread_chg_5d,0.0
CVS,63,fold,0,1,0.106759,0.5,macro_breakeven_5y,-0.0
CVS,63,fold,0,1,0.106759,0.5,macro_inflation_fwd_5y5y,-0.0
CVS,63,fold,0,1,0.106759,0.5,macro_inflation_fwd_chg_21d,-0.0
CVS,63,fold,0,1,0.106759,0.5,macro_inflation_fwd_abs_chg_21d,0.0
CVS,63,fold,0,1,0.106759,0.5,macro_inflation_fwd_chg_63d,-0.019914
CVS,63,fold,0,1,0.106759,0.5,macro_inflation_fwd_zscore,-0.006968
CVS,63,fold,0,1,0.106759,0.5,macro_dollar_ret,0.0
CVS,63,fold,0,1,0.106759,0.5,beta_spy,-0.0
CVS,63,fold,0,1,0.106759,0.5,res_vol,-0.045372
CVS,63,fold,0,1,0.106759,0.5,res_vol_vel,0.0
CVS,63,fold,0,1,0.106759,0.5,price_regime,0.0
CVS,63,fold,0,1,0.106759,0.5,corr_sector_21d,0.0
CVS,63,fold,0,1,0.106759,0.5,corr_sector_252d,-0.0
CVS,63,fold,0,1,0.106759,0.5,sector_wedge,0.0
CVS,63,fold,0,2,0.094186,0.5,rv_5d,0.0
CVS,63,fold,0,2,0.094186,0.5,rv_10d,0.0
CVS,63,fold,0,2,0.094186,0.5,rv_21d,0.0
CVS,63,fold,0,2,0.094186,0.5,rv_63d,0.0
CVS,63,fold,0,2,0.094186,0.5,rv_126d,0.0
CVS,63,fold,0,2,0.094186,0.5,ewma_vol,0.0
CVS,63,fold,0,2,0.094186,0.5,garch_cond_vol,0.0
CVS,63,fold,0,2,0.094186,0.5,ret_TARGET,-0.0
CVS,63,fold,0,2,0.094186,0.5,tech_RSI,-0.0
CVS,63,fold,0,2,0.094186,0.5,tech_MACD_hist,-0.0
CVS,63,fold,0,2,0.094186,0.5,ret_VIXY,0.0
CVS,63,fold,0,2,0.094186,0.5,mom21_VIXY,0.0
CVS,63,fold,0,2,0.094186,0.5,ret_HYG,-0.0
CVS,63,fold,0,2,0.094186,0.5,mom21_HYG,-0.0
CVS,63,fold,0,2,0.094186,0.5,ret_USO,-0.0
CVS,63,fold,0,2,0.094186,0.5,mom21_USO,-0.009079
CVS,63,fold,0,2,0.094186,0.5,ret_TLT,0.0
CVS,63,fold,0,2,0.094186,0.5,mom21_TLT,0.0
CVS,63,fold,0,2,0.094186,0.5,ret_UUP,0.0
CVS,63,fold,0,2,0.094186,0.5,mom21_UUP,0.0
CVS,63,fold,0,2,0.094186,0.5,ret_SPY,-0.0
CVS,63,fold,0,2,0.094186,0.5,mom21_SPY,-0.0
CVS,63,fold,0,2,0.094186,0.5,vol_vel,0.0
CVS,63,fold,0,2,0.094186,0.5,vol_of_vol,0.0
CVS,63,fold,0,2,0.094186,0.5,vol_regime_zscore,-0.0
CVS,63,fold,0,2,0.094186,0.5,vol_chg_21d,0.0
CVS,63,fold,0,2,0.094186,0.5,event_fed_gravity,-0.0
CVS,63,fold,0,2,0.094186,0.5,event_earn_gravity,0.0
CVS,63,fold,0,2,0.094186,0.5,event_div_gravity,-0.0
CVS,63,fold,0,2,0.094186,0.5,event_cpi_gravity,-0.0
CVS,63,fold,0,2,0.094186,0.5,event_nfp_gravity,-0.0
CVS,63,fold,0,2,0.094186,0.5,put_call_skew_30d,0.0
CVS,63,fold,0,2,0.094186,0.5,term_structure_slope,-0.0
CVS,63,fold,0,2,0.094186,0.5,vrp_wedge,0.0
CVS,63,fold,0,2,0.094186,0.5,iv_atm_z_score,0.0
CVS,63,fold,0,2,0.094186,0.5,macro_yield_curve_slope,0.0
CVS,63,fold,0,2,0.094186,0.5,macro_hy_spread,0.0
CVS,63,fold,0,2,0.094186,0.5,macro_hy_spread_chg_5d,0.0
CVS,63,fold,0,2,0.094186,0.5,macro_breakeven_5y,-0.0
CVS,63,fold,0,2,0.094186,0.5,macro_inflation_fwd_5y5y,-0.0
CVS,63,fold,0,2,0.094186,0.5,macro_inflation_fwd_chg_21d,-0.0
CVS,63,fold,0,2,0.094186,0.5,macro_inflation_fwd_abs_chg_21d,0.003245
CVS,63,fold,0,2,0.094186,0.5,macro_inflation_fwd_chg_63d,-0.023207
CVS,63,fold,0,2,0.094186,0.5,macro_inflation_fwd_zscore,-0.075588
CVS,63,fold,0,2,0.094186,0.5,macro_dollar_ret,0.0
CVS,63,fold,0,2,0.094186,0.5,beta_spy,0.0
CVS,63,fold,0,2,0.094186,0.5,res_vol,-0.0
CVS,63,fold,0,2,0.094186,0.5,res_vol_vel,-0.0
CVS,63,fold,0,2,0.094186,0.5,price_regime,0.0
CVS,63,fold,0,2,0.094186,0.5,corr_sector_21d,0.0
CVS,63,fold,0,2,0.094186,0.5,corr_sector_252d,0.0
CVS,63,fold,0,2,0.094186,0.5,sector_wedge,0.0
CVS,63,final,0,-1,0.180078,0.5,rv_5d,0.0
CVS,63,final,0,-1,0.180078,0.5,rv_10d,0.0
CVS,63,final,0,-1,0.180078,0.5,rv_21d,0.0
CVS,63,final,0,-1,0.180078,0.5,rv_63d,0.0
CVS,63,final,0,-1,0.180078,0.5,rv_126d,0.0
CVS,63,final,0,-1,0.180078,0.5,ewma_vol,0.0
CVS,63,final,0,-1,0.180078,0.5,garch_cond_vol,0.0
CVS,63,final,0,-1,0.180078,0.5,ret_TARGET,0.0
CVS,63,final,0,-1,0.180078,0.5,tech_RSI,0.0
CVS,63,final,0,-1,0.180078,0.5,tech_MACD_hist,0.0
CVS,63,final,0,-1,0.180078,0.5,ret_VIXY,0.0
CVS,63,final,0,-1,0.180078,0.5,mom21_VIXY,0.0
CVS,63,final,0,-1,0.180078,0.5,ret_HYG,0.0
CVS,63,final,0,-1,0.180078,0.5,mom21_HYG,0.0
CVS,63,final,0,-1,0.180078,0.5,ret_USO,0.0
CVS,63,final,0,-1,0.180078,0.5,mom21_USO,0.0
CVS,63,final,0,-1,0.180078,0.5,ret_TLT,0.0
CVS,63,final,0,-1,0.180078,0.5,mom21_TLT,0.0
CVS,63,final,0,-1,0.180078,0.5,ret_UUP,0.0
CVS,63,final,0,-1,0.180078,0.5,mom21_UUP,0.0
CVS,63,final,0,-1,0.180078,0.5,ret_SPY,0.0
CVS,63,final,0,-1,0.180078,0.5,mom21_SPY,0.0
CVS,63,final,0,-1,0.180078,0.5,vol_vel,0.0
CVS,63,final,0,-1,0.180078,0.5,vol_of_vol,0.0
CVS,63,final,0,-1,0.180078,0.5,vol_regime_zscore,0.0
CVS,63,final,0,-1,0.180078,0.5,vol_chg_21d,0.0
CVS,63,final,0,-1,0.180078,0.5,event_fed_gravity,0.0
CVS,63,final,0,-1,0.180078,0.5,event_earn_gravity,0.0
